,index,total_star,durability_star,price_star,design_star,delievery_star,date,review_cleaned,help,sentiment
121,121,3.8,4.0,4.0,3.0,3.0,2021.07.13,여자 혼자서도 충분히 만들 수 있어요 근데 내구성이 튼튼한지는 더 써봐야 알 것 같아요 처음에 나사를 잘 정리하고 조립하셔야 편합니다 나사가 없어진줄 알고 당황했는데 박스 안에 굴러다니더라구요 가성비 나쁘진 않네요,0,1
122,122,3.8,4.0,5.0,3.0,3.0,2020.11.07,조립하는데 안 맞아서 신랑이랑 라사 다시 풀어서 잡아 땡기고 늘리고 해서 겨우 조립 천은 어두운걸 택할껄 벌써 더러워지고 보플생긴듯 함다,0,1
123,123,3.8,4.0,4.0,4.0,4.0,2020.09.03,디자인 우수성과 편안한 쿠션감이 좋네요 때 마침 좋은가격에 구매하여너무좋습니다 와이프가 너무 좋다고하네요 조립하기도 쉽고 참 또 구매하고 싶네요,0,1
124,124,3.8,4.0,4.0,4.0,4.0,2020.05.23,가성비 좋고 무지 편합니다 잠이 잘옵니다,0,1
125,125,3.5,3.0,5.0,2.0,2.0,2020.09.02,천은 오래 사용하지 못할것같아요몇번 안앉았는데도 푹 꺼져요,1,1
126,126,3.5,4.0,1.0,4.0,4.0,2021.08.22,예쁘네요 잘쓰겠습니다 스툴이 하얀색이라 때가 잘 탈것 같아요 하지만 편하구 좋아요 설치할때 혼자하면 힘들어요,0,1
127,127,3.5,4.0,4.0,3.0,3.0,2021.08.22,아이들도 어른이앉아도 편하고 디자인도 직접보니 더 예쁘네요,0,1
128,128,3.5,3.0,4.0,4.0,4.0,2021.08.09,생각보다 좀 큰거 말고는 편하고 좋아요,0,1
129,129,3.5,4.0,3.0,3.0,3.0,2021.05.18,크기가 생각보다 커요 내구성은 튼튼해보이고 앉으면 편안합니다 커버는 세탁이 가능합니다,0,1
130,130,3.5,1.0,5.0,5.0,5.0,2021.04.26,스툴 천이 너무 더럽고 보풀 일어났는데 천만 교환하고 하니 시간이 너무 걸려서 그냥 씁니다 디자인은 예쁜데 조금만 더 신경써주셨음 해요,0,1
131,131,3.5,4.0,4.0,3.0,3.0,2020.11.12,좋아요 편해요 잘 사용해 볼게요 조립도 편하네요,0,1
132,132,3.5,4.0,4.0,4.0,4.0,2020.09.10,조립하느라고 1시간정도 걸렸어요 만족합니다,0,1
133,133,3.5,4.0,3.0,3.0,3.0,2020.04.10,튼튼하고 편안합니다 배송은 빠릅니다,0,1
134,134,3.3,3.0,3.0,3.0,3.0,2021.05.02,생각보다 훨씬 편하고 좋아요 가격도 착하고 강추합니다,0,1
135,135,3.0,2.0,3.0,2.0,2.0,2021.02.22,쿠셤 중고같이 얼룩덜룩하고 찌찝햐요 벨크로도 안붙어여,0,0
136,136,3.0,3.0,3.0,3.0,3.0,2020.04.23,왜 적 어 야 되 지 가 나 다 라,0,0
137,137,2.5,3.0,2.0,2.0,2.0,2021.08.01,생각보다 편안한 감이 없었고 시트는 조잡한 느낌이다,0,0
138,138,2.5,2.0,3.0,2.0,2.0,2021.05.20,잘만드는편인데 40분걸림 마음에듬,0,0
