,user_name,total_star,durability_star,price_star,design_star,delivery_star,date,review,help
12,황가애,5.0,5.0,5.0,5.0,5.0,2021.05.09,디자인도 간결하고 사용도 무지 편해요. 하지만 오래쓰면 허리가 아픕니다. 허리 약하신 분들은 쓰시면 안될거같아요,14
13,루라루라룰ㄹ,5.0,5.0,5.0,5.0,5.0,2020.06.13,쇼파 너무 푹신하고 좋으네용 고양이가 바로 올라가더니 안내려옵니다...!!!!ㅋㅋㅋㅋㅋ 진짜 왜 수유의자라고 하는지 알겠어용,13
14,혜니뇨,5.0,5.0,5.0,5.0,5.0,2020.12.17,고양이가 좋아해용 폭신폭신해서 좋아요 아이보리라 때탈까봐 담요 씌어놨어용,11
15,saegi,5.0,5.0,5.0,5.0,5.0,2020.11.15,처음 조립할때 조금 힘들었지만 너무편안하게 잘쓰고있습니다! 두꺼운 쿠션깔고 책상용 의자로도 쓰고있어요,10
16,다온-_-,5.0,5.0,5.0,5.0,5.0,2020.05.02,넘 예쁘고 튼튼해요! 조립하는데 조금 힘들긴했지만!! 여자혼자 조립가능!! 진쩌 진짜 넘 편합니당 ㅎㅎ,9
17,Ha__u,5.0,5.0,5.0,5.0,5.0,2020.11.04,제 생각입니다 참고만 해주세요!! 일단 생각보다 커요 근데 넓어서 딱 감싸주는 느낌이에요 그런데 쿠션이 생각보다 없어요.. 몇번 앉으면 숨이 팍 죽을것같아요 조립은 쉬워요 5~10분? 정도에요 세탁 할려고 했는데 솜이 숨죽을까봐 못하겠어요 등받이가 머리까지 있어서 머리 두기 딱! 괜찮아요 아이보리 사려고했는데 품질이라 골드그레이했는데 생각보다 색상은 예뻐요,7
18,냐냐냐형,5.0,5.0,5.0,5.0,5.0,2020.09.06,지난번에 하나 샀는데 저희집 둘째냥이한테 빼앗기고.. 그래서 하나 더 샀더니 첫째냥이에게 빼앗겼습니다. 좋아요😌,7
19,솔빕,5.0,5.0,5.0,5.0,5.0,2021.05.18,소문보다 안 편하다고 생각했어요 그냥 그렇다고 생각하고 앉았는데 정신차리고 보니 두시간이 지나있는 마약의자,6
20,엔틱4989,5.0,5.0,5.0,5.0,5.0,2020.09.20,리뷰보고 구매했는데 후회없습니다 구매하고 한달넘게 쓴 것 같은데요， 여전히 튼튼하고 불편한거 하나 없네요. 친구들이 너무 편해서 어디꺼냐고 꼭 물어보는 의자예요^^,6
21,알밍333,5.0,5.0,5.0,5.0,5.0,2020.07.21,앉으면 일어나기 싫을정도로 너무 편해요😭😭,6
22,마욜마욜,5.0,5.0,5.0,5.0,5.0,2020.04.24,색깔도 괜찮고 착석감도 좋아요. 목쿠션 있는걸로 살걸 좀 후회는 했어요.,6
23,mina_style,5.0,5.0,5.0,5.0,5.0,2021.07.18,"[2주 사용 후기] 방에서 책 보거나 빔으로 영화 보면서 힐링하려고 의자를 치우고 밀란체어 구입했어요. 발받침이랑 추가 쿠션까지 구입했는데 생각보다는 덩치가 커서 놀랐지만 조립도 너무 간단하고 너무너무 편해서 만족도 최상입니다. 수유의자가 필요한게 아니라 리클라이너, 안마의자, 1인용 쇼파 들과 비교하고 고민하면서 후기 진짜 여러 번 정독했는데 별 5개 후기들 찐이었어요ㅎㅎ 키가 160cm인데 의자에 폭 파묻혀서 더 크지 않아도 괜찮았고, 앉아서 발받침에 다리 올리면 3~4시간은 기본으로 앉아있어요ㅎㅎ 침대에 엎드려서 영상보는 버릇이 있어서 허리도 아프고 목이랑 어깨도 아팠는데 의자 사고 전혀 그럴 일이 없어졌어요! 일단 퇴근하면 여기 앉아야 하거든요ㅎㅎ 저는 갠적으로 쿠션 추가로 구입한 게 좋았어요. 없으면 의자에 더 폭 묻히긴 한데 약간 프레임이 느껴질 것 같은데 추가 쿠션을 얹으면 전혀 그런 느낌이 없고, 테이블하고 높이도 잘 맞더라고요. 고민은 배송을 늦출 뿐이에요ㅎㅎ",5
24,JINNY32,5.0,5.0,5.0,5.0,5.0,2020.11.14,1인용 소파 천개는 본 것 같은데 이게 제일 편하다고 해서 샀어요. 아빠가 집에 놀러올 때마다 여기 앉으십니다. 발받침은 품절이라 별도 구매했어요.,5
25,똑똑방구,5.0,5.0,5.0,5.0,5.0,2020.04.10,머리까지 올라오는 등받이가 아니라면 분명 소파나 의자가 있더라도 누울 게 뻔하므로ㅋㅋ 하이백소파가 아닐 바에야 조립쉽고 공구필요 없고 가벼운 (나열할수록 잘 샀다싶네요 뿌듯^^) 제품으로 골랐어요 강추합니다!! 소재는 약간 스웨이드 같은 천이에요 참고하시길~,5
26,dinizini:),5.0,5.0,5.0,5.0,5.0,2021.05.15,안락하고 아주 좋아요 엄마 어버이날 선물로 사드렸는데 만족하셔서 기쁘네요 흔들의자 옵션 신의한수 입니당,4
27,뉴뽀,5.0,5.0,5.0,5.0,5.0,2021.03.05,아이보리인데 약간 베이지 느낌나는 스웨이드 재질이에요 생각보다 부피가 커서 놀랐어요,4
28,의자왕비,5.0,5.0,5.0,5.0,5.0,2020.12.27,생각보다 편하고 예뻐요!! 흔들의자 프레임 추천합니다!,4
29,Messup,5.0,5.0,5.0,5.0,5.0,2020.11.22,너무 편하고 좋아요 발받침 필수인듯해요,4
30,서연♥다연,5.0,5.0,5.0,5.0,5.0,2019.12.27,우와...진짜 너무너무 편해요~~~이걸 왜 이제 알았는지ㅠ,4
31,2221789,5.0,5.0,5.0,5.0,5.0,2019.10.20,디자인이나 감촉 너무 좋아서 마음에 쏙 들어요!! 부들부들한게 진짜 딱이내요 ㅎㅎ,4
32,박코랭,5.0,5.0,5.0,5.0,5.0,2021.07.15,정말 좋아요(궁서체) 삶의 질이 올라갔습니다(진지해) 너무 편해가지고 앉아서 졸다가 3시간 자버려요(당장사) 아빠다리해서 몸을 다올려도 튼튼하고요(심지어흔들의자상태) 그상태로 뒤로 잔뜩 누워도 뒤로 안넘어가더라구요ㅋㅋㅋ 이거 사시려면 발받침대랑 흔들파츠 꼭 사셔요 물론 아쉬운 점이 잇긴합니다.. 허리랑 목을 잘 받치는 느낌은 아니어서 쿠션을 대야하더라구요ㅎ,3
33,wowiw,5.0,5.0,5.0,5.0,5.0,2021.04.12,전에 쿠팡에서 구매했다가 오늘의 집에서 2개 더 추가 주문 했어요! 너무 편합니다ㅜㅜ배송도 주문한 다음날 왔어요!,3
34,좋아요0,5.0,5.0,5.0,5.0,5.0,2021.04.09,진짜편해요 고민하지마시고 꼭 구매하세요 가성비갑,3
35,도전도배공,5.0,5.0,5.0,5.0,5.0,2021.03.23,안락의자에 앉은 순간 일어나기 싫어요~^^,3
36,Vitaminjeong14,5.0,5.0,5.0,5.0,5.0,2020.12.15,진짜 왜 사람들이 여기서 잠드는지 알 것 같아욬ㅋㅋㅋㅋㅋ너무 편하고 좋습니다,3
37,inbbobbo,5.0,5.0,5.0,5.0,5.0,2020.04.15,가격대비 완전 만족해요~^^ 이쁘고 편안하고.. 최고입니다,3
38,은뚜비두밥,5.0,5.0,5.0,5.0,5.0,2021.08.05,너무 아늑하고 보기만 해도 기분이 좋아져요! 저희집 멍멍이도 너무 좋은지 내려오려고 하지 않아요ㅠㅠ,2
39,drdgdx,5.0,5.0,5.0,5.0,5.0,2021.07.08,수유의자로 구매했는데 의자 너무 편해요 수유할때 아니더라도 자주 쓸거같아요 ㅎㅎ,2
40,뚱피그2,5.0,5.0,5.0,5.0,5.0,2021.06.05,진짜 편하네요! 만족스러워요 방석을 안사서 아쉬워여 엄청커요,2
41,비염싫어,5.0,5.0,5.0,5.0,5.0,2020.12.01,깔끔하고 좋아요. 푹신하고 아늑합니다.,2
42,아웅잌,5.0,5.0,5.0,5.0,5.0,2020.11.25,증맬로 편해요 스툴은 나중에 따로 구매했는데 스툴 무조건 필수!!! 스툴이 있어야 완전 편하고 없으면 뭔가ㅠㅠ,2
43,김도비님,5.0,5.0,5.0,5.0,5.0,2020.09.18,집이 복층이라 큰 쇼파는 못올리고 임신후기되니까 바닥에 앉는것도 힘들어서 겸사겸사 국민 수유의자라고 해서 구매했습니다! 아직 아가는 태어나지 않아서 수유할때의 장점은 모르겠지만 우선 앉아서 휴식하고 티비보기 너무 편하고 좋아요. 구매하기전에는 침대에서만 누워있었는데 앉아서 오래있어도 편안해서 좋아요 :) 아직 일주일도 안지나서 장기간 사용후기는 이후에 수정해볼게오! 조립도 사용설명서가 그림이 상세해서 복잡해보일순 있는데 막상 해보면 쉬워요~ㅎㅎ 아이보리 사고싶었지만 품절이라 그레이 샀는데 때안타고 잘쓸거같습니다 추천추천!,2
44,jjigong2,5.0,5.0,5.0,5.0,5.0,2020.05.25,일단 집정리가 되기전에 먼저 조립했는데요 여자 혼자 금방 합니다 생각보다 크기도 커서 소파보다 더 편한 것 같아요,2
45,함인규2,5.0,5.0,5.0,5.0,5.0,2020.04.24,정말 정말 예쁘고 편리합니다 한번 앉으면 일어나기가 싫어요 발 받침대도 살까하다가 스툴쓰려고 안 샀어요 공간을 많이 차지하지만 산건 후회하지 않아요,2
46,늘별☆,5.0,5.0,5.0,5.0,5.0,2020.04.11,수유쇼파로 추천받아서 임신때부터 미리 사서 잘 사용했어요 ㅎ 지금은 이 쇼파에서 수유중^^♡ 수유쿠션은 안들어가지만 다른 쿠션 놓고 애기 눕힐 수 있어요~,2
47,혜민뽀쨕,5.0,5.0,5.0,5.0,5.0,2021.08.17,없으면 아쉬웠을 것 같아요 ㅠㅠ 사길 잘했어용 앉아서 다리올리면 딱맞어요!! 강추,1
48,루나트리16,5.0,5.0,5.0,5.0,5.0,2021.07.30,편하고 좋아요 인기있는이유를 알겠어요,1
49,젤리얌얌긋,5.0,5.0,5.0,5.0,5.0,2021.05.28,"방에 있는 테이블이랑 어울릴만한 의자를 찾다가 일반의자는 불편할거 같아서 쇼파의자로 구매한건데 너무 만족스러워서 기분 좋네요!! 너—무 편해서 외출하고 돌아오면 침대로 안가고 쇼파의자에 앉아서 간식 먹으며 유튭,넷플릭스 보는데 이게 바로 소확행!ㅎㅎ 가로로 앉으면 더 편하고 발받침도 너무 좋으니 꼭 같이 사세요!!",1
50,해순찌,5.0,5.0,5.0,5.0,5.0,2021.05.18,좋아용~~~~~~~~~~~~~~~~~,1
51,쿠쿠쿠쿠르,5.0,5.0,5.0,5.0,5.0,2021.05.14,편하긴한데 재질이 더워서 여름엔 더울거같아요 지금도 좀 답답 ㅠㅠ 겨울엔 좋을듯,1
52,뭉끼2222,5.0,5.0,5.0,5.0,5.0,2021.05.09,처음엔 그리 좋은지 몰랐는데 누워있다보니 왜 마약인지 알거 같아요,1
53,하베리,5.0,5.0,5.0,5.0,5.0,2021.05.06,진짜진짜진짜진짜 만족도 100000000000%입니당 왜 이제서야 샀나 싶을 정도로 너무 편해요 여자 혼자 조립하기에 전혀 어려운 부분 없구요 하나도 안무거워요 그냥 질질 끌립니다 하얀걸 좋아하지만 막쓰는 저에겐 세탁 가능하다는게 가장 큰 장점이네요 ㅎㅎ,1
54,비니비니0.0,5.0,5.0,5.0,5.0,5.0,2021.05.06,제품이 너무 좋아요 하루종일 의자에 앉아있네요 추천합니다,1
55,조윤혜93,5.0,5.0,5.0,5.0,5.0,2021.04.29,색상..편안함..넘 맘에들어요..엄마가 좋아하실것 같네요~,1
56,박성령55,5.0,5.0,5.0,5.0,5.0,2021.03.31,설명서 보면서 조립이 더 헷갈리는듯요 ㅎㅎ 그냥 참고만 하시면서 해보심 진짜 쉬워요. 생각보다 엄청 튼튼하네여. 잘쓸게여,1
57,두두05,5.0,5.0,5.0,5.0,5.0,2021.03.30,배송 빠르게 받았어요^^ 여자혼자 조립 할만 했구요 발 받침대 살까말까 고민했는데 있는게 훨씬 편하네요~ 쿠션도 샀는데 없어도 편해서 다른 의자에 사용하려고요ㅎㅎ 저렴하게 흔들의자 갖게되어 너무 좋아요🌝,1
58,현쥬뿅야,5.0,5.0,5.0,5.0,5.0,2021.03.05,너무맘에들어요ㅠㅠㅠㅠㅠㅠ 사길잘한거같애용 푹신하고 힐링되네용🥰🥰🥰🥰🥰 여러분 고민말고 구매하세용ㅎㅎ,1
59,엥린,5.0,5.0,5.0,5.0,5.0,2021.03.04,어깨가 라운드숄더로 되어서 불편하다 하시는분들과 생각만큼 안편하다는리뷰로 고민많이했어요 분유수유하면 어차피 어떤의자에 앉아도 어깨가 굽을수밖에없어서 어깨에 힘이 들어가는데 그걸 잡아주니까 너무 좋구요 오래앉아있어봐야 알겠지만 개인적으로 쿠션없는게 전 더 편했습니다 처음 앉아봤을때 와.. 밖에 안나오더라구요,1
60,장퓨어님,5.0,5.0,5.0,5.0,5.0,2020.10.29,매우 푹신 그러나 매우 거대합니다 저는 발받침 따로 있어서 구매안했는데 있는게 정말 훨~씬좋아요 때탈까 블랭킷 씌워서 책상의자로 사용하려구요 ㅎㅎ 자세 무너질까 걱정했는데 저는 엉덩이쿠션하고 허리쿠션 받쳤어요 좋아용,1
61,이면정2,5.0,5.0,5.0,5.0,5.0,2020.10.24,안사면 후회하는 의자... 안자마자 너무너무너무좋아서 행복했어요! 앉아서 폰하고 책읽고 넷플보고 다 최고,1
62,별 나,5.0,5.0,5.0,5.0,5.0,2020.09.24,앉았을 때 너무 폭신하고 좋아요 배송도 빨리 왔어요,1
63,꾸울자암,5.0,5.0,5.0,5.0,5.0,2020.07.16,진짜 저세상 편안함이예요 조립설명서만 보고 하기엔 어려움이 있어 유튜브에 검색해서 영상 보고 따라했어요. 혼자하려니 굉장히 무겁고 힘이 많이 들었지만 조립을 끝내고 의자에 앉아보니 그런 생각이 싹 사라졌어요 진짜 겁나편함..... 고냥이가좋아할거같아요,1
64,토리112,5.0,5.0,5.0,5.0,5.0,2020.07.11,때가 타면 맴찢일 것 같아서 위에 시카시카 깔고 사용중이에요. 일하고 와서 잠깐 앉아서 쉬면 항상 잠드는 마법의 의자.. 친구가 와서 앉더니 자기도 산다면서 구매링크 보내달래여. ㅎ 뿌듯. 지금도 여기 앉아서 리뷰 쓰는데 또 노곤해지네요. 행복합니다.,1
65,별쿵0703,5.0,5.0,5.0,5.0,5.0,2020.05.26,포장도 튼튼하게 잘 해주셨고요 배송도 생각보다 빠르게 왔어요. 설명서가 있긴한데 유튜브로 조립방법 찾아서 보고 따라하는게 더 좋아요 엄청 편하고 초딩 아들과 같이 앉아도 불편하지 않고 안락합니다. 작은방 좁은 베란다에 사이즈가 딱이네요,1
66,다빈이네집,5.0,5.0,5.0,5.0,5.0,2020.05.05,생각보다 아주 아주 커요!! 막 푹신푹신보다 엉덩이 쏘옥해서 안락한 느낌의 의자입니당 쇼파랑은 좀 달라여~ 이 가격 그리고 수유의자로 좋다길래 잘 써볼게용,1
67,찐띠ㅣ니,5.0,5.0,5.0,5.0,5.0,2020.04.09,조립도 쉽고 세상편해요 여자 혼자 20분만에 조립했어여 다리가 블랙이라 더 예쁘네요,1
68,hayoii,5.0,5.0,5.0,5.0,5.0,2020.04.07,요청드린 날짜에 맞춰서 전해주셨구요 의자가 너무 푹신푹신해요! 색도 너무 예쁘고 저기서 잠이 솔솔와요..ㅎ,1
69,콜쓰,5.0,5.0,5.0,5.0,5.0,2020.04.07,가볍고 튼튼합니다. 조립하기 쉬웠습니다. 앉아보니 아주 포근합니다. 다리 얹으니 매우 편안합니다. 와이프가 좋아합니다. 기분이 좋습니다ㅎ,1
70,이쁜집에서살기,5.0,5.0,5.0,5.0,5.0,2021.08.25,"앉아서 리뷰쓰는중인데 왜 고민했는지,,너무 편하고 좋아요!!!",0
71,히히히햐,5.0,5.0,5.0,5.0,5.0,2021.08.24,배송 엄청 빠르고 세상 편합니다. 설치는 캠핑용품 조립하는거 같아서 재밌었어요. 발받침인데 엄청 푹신하고 좋아요! 따로 의자로 사용해도 될 것 같아요,0
72,릴리릴랄라,5.0,5.0,5.0,5.0,5.0,2021.08.24,앉으면 푹신푹신하고 날 화려하게 싸악 감싸안은 느낌이에오,0
73,daaedaae4,5.0,5.0,5.0,5.0,5.0,2021.08.24,배송이 정말 빨라요!!!!!! 설치는 여자인 제가 해도 금방했어요! 리뷰대로 앉으면 잠이 바로오네여.....너무 편해요! 만삭이라 높고 편한 의자가 필요했는데 딱이에요! 나중에 수유의자로도 사용하려규요!,0
74,찌유짱,5.0,5.0,5.0,5.0,5.0,2021.08.24,의자 하나로 삶의 질이 달라짐 진짜 수유의자라 그런지 너무너무 편해요!,0
75,Gracejung0312,5.0,5.0,5.0,5.0,5.0,2021.08.24,찐임 깜짝 놀람 반신반의 했는뎈ㅋㅋ 앉고 나서 와 했어요,0
76,이지민34,5.0,5.0,5.0,5.0,5.0,2021.08.24,안방 베란다 휴식공간으로 꾸몄는데 완전 분위기가 확 살았어요! 그리고 너무 편해요!!!,0
77,김은경441,5.0,5.0,5.0,5.0,5.0,2021.08.23,너무 편안한 의자 디자인도 만족~ 다리가 좀더 고급지면 좋겠음,0
78,포도요니,5.0,5.0,5.0,5.0,5.0,2021.08.22,조립도 쉽고 넘 편해요 ㅎㅎㅎㅎ 최애장소,0
79,_소낙,5.0,5.0,5.0,5.0,5.0,2021.08.22,아니 정말 맘에 들어요!!! 너무 푹신하고 쏙 감싸지는 느낌이 ~ 🖤 하루종일 앉아있게 되네요 ㅋㅋㅋ 아이보리 색도 저희집 인테리어랑 잘 어울리네용 :) 생각보다 커서 놀랐지만 너무 편안하고 좋습니다 😆,0
80,since****34,5.0,5.0,5.0,5.0,5.0,2021.08.22,배송도 빠르고 사진하고 똑같아요 ◡̎ 만삭임산부 혼자 뚝딱 조립햇어요 ㅎㅎㅎ,0
81,으헤헤헤헤헤헿헿,5.0,5.0,5.0,5.0,5.0,2021.08.21,배송 하루만에 왔어요 설치 방법도 쉬워요! 설치 후 앉아봤는데 정말 편하네요 키가 164 인데 목 받침 없는 버젼임에도 불구하고 저는 불편함 못느꼈어요! 디자인도 깔끔하니 이뻐요 수유의자로 잘 쓸거같아요 감사합니다,0
82,오키공쥬,5.0,5.0,5.0,5.0,5.0,2021.08.21,마음에 듭니다 편안하고 좋아요! 깔끔합니다,0
83,당근당그닝,5.0,5.0,5.0,5.0,5.0,2021.08.21,"너무 편해서 맨날 여기 누워있음 ,,,,,,,,, 잠들 때도 많아요",0
84,하늘에별빛,5.0,5.0,5.0,5.0,5.0,2021.08.20,마약의자! 진짜 너무 편하네요ㅎㅎ 흔들의자도 잼슴,0
85,박선화10,5.0,5.0,5.0,5.0,5.0,2021.08.20,수유의자 알아보다 세일해서 구매했습니다 조립도 쉽구 앉아보니까 촥 엉덩이쪽부터 감키는데 쉴 때마다 와서 앉아있어요 너무좋아요,0
86,포인4,5.0,5.0,5.0,5.0,5.0,2021.08.20,여름용커버 덮고 앉아봤는데 확실히 시원감이 있네요!,0
87,ㄱ.ㅋ2,5.0,5.0,5.0,5.0,5.0,2021.08.20,목 지지해주는 의자 찾다가 후기 보고 선택했어요. 오늘 첫날이라 더 앉아봐야 될 듯요. 추가로 스툴 고민하다가 집에 요가볼 있어서 잠시 해 봤는데 괜찮네요.,0
88,우혀니내게오납ㅏ,5.0,5.0,5.0,5.0,5.0,2021.08.20,딱 생각한 정도의 크기이고 푹신하고 예뻐요 근데 스웨이드 재질? 이여서 여름엔 앉아있으면 더울 것 같고 뭔가 쉽게 ㄸㅐ 탈 것 같아요 ㅠ,0
89,jini01179,5.0,5.0,5.0,5.0,5.0,2021.08.20,오~~진짜 고급져 보이고 좋아요~ 망설이지 마세요,0
90,민정뿅,5.0,5.0,5.0,5.0,5.0,2021.08.19,의자 너무 포근하고 색감도 좋고 무엇보다 앉았을 때 너무 편안해요! 친구 집들이 선물 해줬는데 너무 예쁘다고 하네요!^^ 선물용으로도 추천추천합니다. 저도 방이 크면 하나 구매하고싶네요!,0
91,🔵rookiezee,5.0,5.0,5.0,5.0,5.0,2021.08.19,주문한 다음날 바로 배송왔고 이틀동안 사용했을 때 정말 편했습니다 스툴까지 구매하길 잘했네요,0
92,iny861,5.0,5.0,5.0,5.0,5.0,2021.08.18,배송 하루만에 도착. 첨엔 앉는부분이 너무 꺼져서 불편해서. 의자에 방석하나 깔고 앉으니 편하네요. 그리고 의자부분이 짧아서 발받침 세트로 구입하는게 좋은것같아요. 등받이 부분이 조금만 더 뒤로 젖혀지면 더 좋을 것 같다는 바램이 ... ㅎㅎㅎ 하지만 지금도 만족합니다. 👍,0
93,oki777,5.0,5.0,5.0,5.0,5.0,2021.08.18,먼저 주문한 러그보다 빨리 왔어요 무게도 가벼워서 이리저리 옮기기 좋고 앉아보니까 극락이에요,0
94,천천히해보기,5.0,5.0,5.0,5.0,5.0,2021.08.18,너무 이쁘네요 조립두 쉬웟어요~~^^,0
95,효연하다59,5.0,5.0,5.0,5.0,5.0,2021.08.18,아주 잘 쓰고 있습니다. 흔들의자로 쓰는 게 훨씬 편해요,0
96,전보벌레,5.0,5.0,5.0,5.0,5.0,2021.08.18,"배송도 엄청 빨랐고 조립도 혼자서 하기 아주 쉬웠어요! 쿠션이랑 발 받침대도 같이 사길 아주아주!! 잘 한 것 같아요. 허리디스크로 고생했었는데, 등 뒤에 쿠션 하나 대고 발 뻗고 앉으면 아주 안락하고 편합니당!",0
97,용2222222222,5.0,5.0,5.0,5.0,5.0,2021.08.18,너무 편하고 맘에들어요! 서로 앉겟다고 난리에요,0
98,kasia,5.0,5.0,5.0,5.0,5.0,2021.08.18,너무너무 편하고 예쁩니다~~ 발받침대까지 사길 잘했어요,0
99,sera52,5.0,5.0,5.0,5.0,5.0,2021.08.17,크고 편하고 조립도 괜찮고 다 만족합니다! 잘쓸게요😀🥰,0
100,꾸니마미,5.0,5.0,5.0,5.0,5.0,2021.08.17,초등생 아들이 소파에 자꾸 나쁜자세로 앉고 눕고 해서 구입했어요 게임할때 책볼때 티비볼때.. 무릎에 쿠션하나만 놓고 앉으면 엄청 편해요.. 전 아들없을때만 차지...ㅋ,0
101,yunji1015,5.0,5.0,5.0,5.0,5.0,2021.08.17,포장도 꼼꼼하고 설명서 잘 되어있어 조립하기 편했어요! 무엇보다 편해서 제일 좋아요.,0
102,데이나2,5.0,5.0,5.0,5.0,5.0,2021.08.17,편한 의자 맞아요 근데 뭐 후기만큼 그렇게 편한건 모르겟어오..,0
103,이지혜502,5.0,5.0,5.0,5.0,5.0,2021.08.17,수유의자로 유명해서 샀어요 편하긴 하나 앉는부분이 좀 짧은감이 있어요,0
104,태쁘❤️떠라,5.0,5.0,5.0,5.0,5.0,2021.08.16,흔들 프레임도 같이 샀는데 넘 좋아여,0
105,아니다사이드,5.0,5.0,5.0,5.0,5.0,2021.08.16,배송이 진짜 빨랐어요 그리고 후기대로 너무 편안합니다,0
